index,Lobbying score,Highest paying industry info,Most loyal industry,Name
F000454,0.7537657383423597,"{'industry': 'Education', 'donations': 399188, 'score:': 0.5714285714285714}","{'industry': 'Retired', 'score': 1.0}",Bill Foster
S001225,0.7539612637615658,"{'industry': 'Retired', 'donations': 401220, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Eric Sorensen
D000623,0.7574674044097149,"{'industry': 'Transportation Unions', 'donations': 46000, 'score:': 0.3333333333333333}","{'industry': 'Public Sector Unions', 'score': 1.0}",Mark DeSaulnier
M001163,0.7593298297281361,"{'industry': 'Retired', 'donations': 112528, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Doris O. Matsui
B001315,0.7607854318172093,"{'industry': 'Lawyers/Law Firms', 'donations': 322225, 'score:': 0.8}","{'industry': 'Retired', 'score': 1.0}",Nikki Budzinski
S001211,0.7612667732870685,"{'industry': 'Retired', 'donations': 297812, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Greg Stanton
R000617,0.764109059759952,"{'industry': 'Leadership PACs', 'donations': 71401, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Delia C. Ramirez
M001216,0.764614135051937,"{'industry': 'Leadership PACs', 'donations': 69500, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Cory Mills
T000474,0.7654873614288714,"{'industry': 'Public Sector Unions', 'donations': 55500, 'score:': 1.0}","{'industry': 'Public Sector Unions', 'score': 1.0}",Norma J. Torres
W000806,0.76716893689313,"{'industry': 'Retired', 'donations': 78277, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Daniel Webster
N000179,0.7699923106497502,"{'industry': 'Public Sector Unions', 'donations': 30000, 'score:': 1.0}","{'industry': 'Public Sector Unions', 'score': 1.0}",Grace F. Napolitano
C001066,0.7706004687319314,"{'industry': 'Lawyers/Law Firms', 'donations': 121803, 'score:': 0.8}","{'industry': 'Retired', 'score': 1.0}",Kathy Castor
B001236,0.7718537514699328,"{'industry': 'Crop Production &amp; Basic Processing', 'donations': 544210, 'score:': 1.0}","{'industry': 'Crop Production &amp; Basic Processing', 'score': 1.0}",John Boozman
L000397,0.771961695575463,"{'industry': 'Electronics Mfg &amp; Equip', 'donations': 195872, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Zoe Lofgren
D000629,0.7722951232250491,"{'industry': 'Retired', 'donations': 779728, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Sharice Davids
W000790,0.7726081121076598,"{'industry': 'Retired', 'donations': 28924148, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Raphael G. Warnock
L000597,0.7729263194637299,"{'industry': 'Leadership PACs', 'donations': 115500, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Laurel M. Lee
P000599,0.7736015747085824,"{'industry': 'Retired', 'donations': 145575, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Bill Posey
S001198,0.774629866590477,"{'industry': 'Retired', 'donations': 1328416, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Dan Sullivan
C001069,0.7768898306376908,"{'industry': 'Leadership PACs', 'donations': 173426, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Joe Courtney
C001055,0.7769015391138022,"{'industry': 'Securities &amp; Investment', 'donations': 136975, 'score:': 0.7352941176470589}","{'industry': 'Retired', 'score': 1.0}",Ed Case
M001217,0.7770564392992976,"{'industry': 'Lawyers/Law Firms', 'donations': 110225, 'score:': 0.8}","{'industry': 'Retired', 'score': 1.0}",Jared Moskowitz
G000593,0.7799496330062453,"{'industry': 'Leadership PACs', 'donations': 223600, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Carlos A. Gimenez
P000145,0.78143107008123,"{'industry': 'Lawyers/Law Firms', 'donations': 1293269, 'score:': 0.8}","{'industry': 'Retired', 'score': 1.0}",Alex Padilla
C001116,0.7818895680065314,"{'industry': 'Retired', 'donations': 81631, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Andrew S. Clyde
Y000064,0.7837587761793741,"{'industry': 'Retired', 'donations': 1486219, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Todd Young
M001225,0.7877763572432089,"{'industry': 'Retired', 'donations': 99345, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Kevin Mullin
H001068,0.7898921899894719,"{'industry': 'Retired', 'donations': 101170, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Jared Huffman
S000929,0.7904399894745116,"{'industry': 'Retired', 'donations': 380018, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Victoria Spartz
C001080,0.7913428617262285,"{'industry': 'Health Professionals', 'donations': 130631, 'score:': 0.5714285714285714}","{'industry': 'Retired', 'score': 1.0}",Judy Chu
B001295,0.7916208335693601,"{'industry': 'Retired', 'donations': 87179, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Mike Bost
G000047,0.791739513265886,"{'industry': 'Retired', 'donations': 68479, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",Robert Garcia
A000371,0.7933651946863984,"{'industry': 'Lawyers/Law Firms', 'donations': 152320, 'score:': 0.8}","{'industry': 'Retired', 'score': 1.0}",Pete Aguilar
H001081,0.7944704455549931,"{'industry': 'Leadership PACs', 'donations': 332041, 'score:': 0.6666666666666666}","{'industry': 'Retired', 'score': 1.0}",Jahana Hayes
H000273,0.7945056076969219,"{'industry': 'Retired', 'donations': 4719287, 'score:': 1.0}","{'industry': 'Retired', 'score': 1.0}",John W. Hickenlooper
R000575,0.7952644416681539,"{'industry': 'Misc Defense', 'donations': 282350, 'score:': 0.875}","{'industry': 'Crop Production &amp; Basic Processing', 'score': 1.0}",Mike Rogers
F000062,0.7959865597354928,"{'industry': 'Lawyers/Law Firms', 'donations': 588099, 'score:': 0.8}","{'industry': 'Retired', 'score': 1.0}",Dianne Feinstein
C001059,0.7982211009751221,"{'industry': 'Crop Production &amp; Basic Processing', 'donations': 166950, 'score:': 1.0}","{'industry': 'Crop Production &amp; Basic Processing', 'score': 1.0}",Jim Costa
